timestamp,pair,action,volume,txid
2025-08-08T04:25:00.451612Z,XXRPZUSD,buy,13.05079209,OCQ5RP-EC3OL-DYXIQR
2025-08-08T04:25:00.458738Z,SOLUSD,buy,0.21900727,O4SSYP-TGOKZ-TNVRUL
2025-08-08T04:25:00.461279Z,PENDLEUSD,buy,4.26046,OBG7PS-4ANKR-J4XVDR
2025-08-08T15:23:06.961422Z,PENDLEUSD,sell,3.04202,OLWYTW-OHHPJ-JR3W2C
2025-08-08T15:23:06.963975Z,XXRPZUSD,sell,13.04062397,OP5A77-YH2OA-E57D6I
2025-08-08T15:23:06.966501Z,SOLUSD,sell,0.06439419,OU2WAI-OWXSW-C6L46D
2025-08-08T15:23:06.968125Z,XETHZUSD,buy,0.0054755,OR4G6V-IQ7UD-3SPKAD
2025-08-08T15:23:06.971034Z,XDGUSD,buy,48.83392652,OHVRNE-ZX6JB-K2RGV6
2025-08-08T15:38:44.173176Z,XETHZUSD,buy,0.00546888,OBBJMM-JGHCO-ZR3FE7
2025-08-08T15:38:44.175601Z,SOLUSD,buy,0.09199853,OHU7OB-ZCO65-JOGHM2
2025-08-08T17:53:32.749282Z,SOLUSD,sell,0.03193884,OTX3FR-WLBET-N5ULCN
2025-08-08T17:53:32.751713Z,XETHZUSD,buy,0.00209208,OXPOFJ-XQAKR-M7ZKRQ
2025-08-08T17:53:32.752719Z,XDGUSD,buy,96.40854744,OG4K4H-H5OLN-IQHO7N
2025-08-08T18:01:46.318783Z,XDGUSD,sell,96.40854744,OPGX3S-7SE54-NAOJNA
2025-08-08T18:01:46.321527Z,SOLUSD,sell,0.03123979,OYQ4O2-MLVQT-WMTFBO
2025-08-08T18:01:46.324442Z,XXRPZUSD,buy,8.31900259,OKBWIV-VQ326-PQJK2P
2025-08-08T20:16:07.920704Z,XXRPZUSD,sell,8.32917071,OXHP5V-N3C72-BOQDFS
2025-08-08T20:16:07.924240Z,XETHZUSD,sell,0.00202644,OHJ3ZR-SBTM2-AMRGVM
2025-08-08T20:16:07.926808Z,SUIUSD,buy,8.52828,OFOHZC-SUJUR-IYM2AJ
2025-08-08T20:24:18.301082Z,XETHZUSD,sell,0.00342557,OFE6ZH-4YD6T-2ZIVYS
2025-08-08T20:24:18.303081Z,SOLUSD,buy,0.06267887,OSHYWD-Y2XT3-TN77AD
2025-08-08T20:24:18.306155Z,SUIUSD,buy,1.39009,OM7XAQ-UB2LU-NVHT4Z
2025-08-08T20:56:58.530496Z,SOLUSD,sell,0.09833182,OENKIY-W3DGP-MOXMV3
2025-08-08T20:56:58.532406Z,XETHZUSD,buy,0.00403978,OTW7DE-3RH4A-B6UFPI
2025-08-08T21:04:07.101600Z,SOLUSD,sell,0.05696076,OSTYXB-AHYRK-EOOJAN
2025-08-08T21:04:07.104601Z,XXBTZUSD,buy,5.612e-05,OB5M5O-UGUGB-YQ6AHV
2025-08-08T21:04:07.106687Z,SUIUSD,buy,0.93308,OZUYCG-V7VPR-2EPDUX
2025-08-08T21:13:46.225918Z,XXBTZUSD,sell,5.605e-05,OQNYGI-A3LXY-2WFQXW
2025-08-08T21:13:46.229481Z,SUIUSD,sell,4.60295,OHUNXP-YRIJU-CPQYIE
2025-08-08T21:13:46.231481Z,SOLUSD,buy,0.14096506,O723BX-AKQM5-EIMZRY
2025-08-08T21:36:52.634713Z,SOLUSD,sell,0.06119813,OBVRVJ-6KLEE-DY57FZ
2025-08-08T21:36:52.637259Z,SUIUSD,buy,3.89668,OF2BZL-3MME5-OS56G4
2025-08-08T22:02:25.254782Z,SOLUSD,sell,0.17048576,OSW25P-UFXX3-FCDQVQ
2025-08-08T22:02:25.257348Z,XDGUSD,buy,127.53157698,OZZG6L-Y2DJB-UE64FS
2025-08-08T22:58:30.369572Z,SUIUSD,sell,10.14518,OGWQRH-DS2UM-QGN6R6
2025-08-08T22:58:30.372475Z,AEROUSD,buy,36.22072,OMT54K-PPQ53-3ZE2FL
